name,id,slug
Серебрякова З.Е.,5c48b6bf72ebd144ef45d1d1,serebryakova-ze
Джованни Баттиста Лангетти,5c48b6d772ebd144ef45d956,landzhetti
Анри-Франсуа Ризенер ,5c48b6db72ebd144ef45daa8,rizener-a-f
Бенуа-Шарль Митуар,5c48b6db72ebd144ef45da8f,benua-sharl-mituar
Обер А.Л.,5c48b6db72ebd144ef45da9b,ober-a-l
Ге Н.Н.,5c48b66872ebd144ef45b738,n-ge
Плешанов П.Ф.,5c48b6ce72ebd144ef45d6ba,pleshanov-p-f
Дубовской Н.Н.,5c48b6d272ebd144ef45d7ed,dubovskoy-nn
Васильев Ф.А.,5c48b66772ebd144ef45b6ec,vasilev-fa
Столица Е.И.,5c48b6dd72ebd144ef45db63,stolica-e-i
Блинов Л.Д.,5c48b68a72ebd144ef45c045,blinov-l-d
Васнецов А.М.,5c48b6c372ebd144ef45d308,vasnecov-am
Васнецов В.М.,5c48b66672ebd144ef45b6dc,vasnecov-vm
Малявин Ф.А.,5c48b68a72ebd144ef45c051,malyavin-f-a
Галактионов С.Ф.,5c48b68a72ebd144ef45c039,galaktionov-s-f
Туржанский Л.В.,5c48b68a72ebd144ef45c049,turzhanskiy-l-v-1
Поль Гоген,5c48b66772ebd144ef45b710,pol-gogen
Фальк Р.Р.,5c48b6d072ebd144ef45d73d,falk-rr
Басин П.В.,5c48b6c172ebd144ef45d25c,basin-p-v
Худяков В.Г.,5c48b68a72ebd144ef45c028,hudyakov-v-g
Шагал М.З.,5c48b6c272ebd144ef45d2cb,shagal-m
Сомов К.А.,5c48b6a372ebd144ef45c89c,somov-ka
Харламов А.А.,5c48b6a172ebd144ef45c7ad,harlamov-a-a
Щедрин С.Ф.,5c48b6a172ebd144ef45c7f9,shchedrin-s-f
Фешин Н.И.,5c48b69272ebd144ef45c2bc,feshin-n-i-1
Жуковский С.Ю.,5c48b66972ebd144ef45b787,zhukovskiy-s-yu
Эрьзя С.Д.,5c48b6b972ebd144ef45d001,erzya-s-d
Бакалович С.В.,5c48b68672ebd144ef45bef6,bakalovich-s-v
Неврев Н.В.,5c48b6a272ebd144ef45c837,nevrev-n-v
Иоганн Лампи Младший,5c48b6ce72ebd144ef45d6a9,lampi-iogann-baptist
Герхардт фон Кюгельхен,5c48b6bb72ebd144ef45d068,gerhardt-fon-kyugelgen
Кёлер-Вилианди И.П.,5c48b68a72ebd144ef45c059,keler-viliandi-i-p
Кустодиев Б.М.,5c48b68a72ebd144ef45c024,kustodiev-bm
Горбатов К.И.,5c48b69d72ebd144ef45c65b,gorbatov-k-i
Богаевский К.Ф.,5c48b69d72ebd144ef45c66f,bogaevskiy-k-f
Аверьянов А.Ю.,5c48b66a72ebd144ef45b7a3,averyanov-a-yu
Мазуровский В.В.,5c48b68672ebd144ef45bec1,mazurovskiy-v-v
Самокиш Н.С.,5c48b69672ebd144ef45c3e4,samokish-ns
Микешин М.О.,5c48b68672ebd144ef45becd,mikeshin-m-o
Чирка Ф.А.,5c48b68672ebd144ef45beda,chirka-f-a
Девятов М.М.,5c48b68c72ebd144ef45c0c5,devyatov-m-m
Бувалец В.А.,5c48b68c72ebd144ef45c0c9,buvalec-v-a
Бабков С.Ф.,5c48b68c72ebd144ef45c0df,babkov-s-f
Гущин К.А.,5c48b68c72ebd144ef45c0e8,gushchin-k-a
Столбов А.С.,5c48b68c72ebd144ef45c0ec,stolbov-a-s
Моисеенко Е.Е.,5c48b68c72ebd144ef45c0cd,moiseenko-e-e
Лоч С.Ф.,5c48b68d72ebd144ef45c153,loch-s-f
Куприн А.В.,5c48b66b72ebd144ef45b7c4,kuprin-av
Гончарова Н.С.,5c48b6a472ebd144ef45c8dc,goncharova-ns
Клименко А.А.,5c48b68672ebd144ef45bed1,klimenko-a
Франческо Дзуккарелли,5c48b6b772ebd144ef45cf42,franchesko-dzukkarelli
Верещагин П.П.,5c48b6b572ebd144ef45cebc,vereshchagin-p-p
Яш Н.Ф.,5c48b6c772ebd144ef45d431,yash-n-f
Серов В.А.,5c48b6c272ebd144ef45d2d4,serov-v-a-2
Богданов-Бельский Н.П.,5c48b6ae72ebd144ef45cc33,bogdanov-belskiy-np
Людвиг Кнаус,5c48b68172ebd144ef45bd65,lyudvig-knaus
Шарль-Франсуа Добиньи,5c48b6a172ebd144ef45c7e2,sh-dobini
Корнелис Хейсманс,5c48b6a172ebd144ef45c7ca,k-heysmans
Марк Антонио Франческини ,5c48b6a172ebd144ef45c7bd,m-francheskini
Жак Куртуа,5c48b6b172ebd144ef45cd40,zhak-kurtua-xvii-vek
Констан Тройон,5c48b68172ebd144ef45bd9b,konstan-troyon
Якопо Бассано,5c48b6a172ebd144ef45c7c1,ya-bassano
